name	species affected	last reported
African Horse Sickness	Horses	Never
African Swine Fever	Pigs	Never
Anthrax	Cattle and other mammals	Present
Aujeszky's Disease	Pigs and other mammals	1989
Avian Influenza (Fowl plague)	Poultry	2016
Bovine Spongiform Encephalopathy	Cattle	Present
Bluetongue	Cattle, Sheep and Goats	2007
Brucellosis (Brucella abortus)	Cattle	2004
Brucellosis (Brucella melitensis)	Sheep and Goats	Never
Chronic Wasting Disease	Deer	Never
Classical Swine Fever	Pigs	2000
Contagious agalactia	Sheep and Goats	Never
Contagious Bovine Pleuro-pneumonia	Cattle	1898
Contagious Epididymitis (Brucella ovis)	Sheep and Goats	Never
Contagious Equine Metritis	Horses	2010
Dourine	Horses	Never
Enzootic Bovine Leukosis	Cattle	1996
Epizootic Haemorrhagic Virus Disease	Deer	Never
Epizootic Lymphangitis	Horses	1906
Equine Viral Arteritis	Horses	2010
Equine Viral Encephalomyelitis	Horses	Never
Equine Infectious Anaemia	Horses	2010
Foot and Mouth Disease	Cattle, sheep, pigs and other cloven hoofed animals	2007
Glanders and Farcy	Horses	1928
Goat Pox	Goats	Never
Lumpy Skin Disease	Cattle	Never
Newcastle Disease	Poultry	2006
Paramyxovirus of pigeons	Pigeons	Present
Peste des Petits Ruminants (Goat Plague)	Sheep and Goats	Never
Porcine Epidemic Diarrhoea	Pigs	2002
Rabies	Dogs and other mammals	2006
Rift Valley Fever	Cattle, Sheep and Goats	Never
Rinderpest (Cattle Plague)	Cattle	1877
Scrapie	Sheep and Goats	Present
Sheep Scab (Notifiable in Scotland Only)	Sheep	Present
Sheep Pox	Sheep	1866
Swine Vesicular Disease	Pigs	1982
Teschen Disease (Porcine enterovirus encephalomyelitis)	Pigs	Never
Tuberculosis (Bovine TB)	Cattle and Deer	Present
Vesicular Stomatitis	Cattle, Pigs and Horses	Never
Warble fly	Cattle, Deer and Horses	1990
West Nile Virus	Horses	Never
